"E1","E2","E3","E4","E5","E6"
50.5630099434787,49.8873684585882,50.6733952534818,50.4480733569434,49.6663655644573,49.8430558567296
49.7077384180951,50.1833331768197,48.32465203408,51.1619403257213,50.786051700859,48.9403993953343
49.5768127642074,49.4561613734058,49.6858746701551,51.1282470979115,49.6162697607086,51.0811354148178
48.4789505848074,50.0911714948391,49.4931962778455,49.6808491836387,48.3399180613507,50.7835107107853
50.6252060350934,50.5337412038443,49.5222838869952,49.6906446639773,49.9713740553646,50.1791414613162
49.8582653823732,50.7435088408866,50.0680690063947,51.4830998802097,48.3118508978064,52.1592126904095
49.458141585379,49.3888173134713,49.3701518721239,50.0888887572387,49.4578857848298,49.9838027140519
50.8833506197111,49.6221789207003,49.6964831060735,50.0391264276155,49.5635415325093,48.9213142358271
49.5044609319272,50.0467454119197,50.0659195535241,48.7332960755659,50.844898120608,51.183588254438
50.2556220121117,48.6664851557211,49.5532700114084,51.2671875419125,49.9853481632826,49.7533268932472
50.0859251427672,48.6075707423707,50.3562644953424,51.2668567464565,49.9020910113554,51.0818525899917
50.296194559923,50.1476848928847,48.6494780641261,49.8243020892748,50.6068195453649,49.6444951114295
50.7335033920878,50.7811930106458,50.1700464839284,48.358813434647,49.5816747834298,50.1350214061991
48.1158308599848,49.4263889332042,48.9679165210676,48.3817255933002,49.6814194551944,51.1096709606516
51.2582938094358,50.5748908782811,49.7832565494169,50.0363192509621,49.6606880942494,50.4358794074626
48.7542453602654,49.6855712236121,51.0448627350635,50.7200184361694,49.8566861105659,48.9706151183271
48.7658899070305,49.6880900703802,49.7690460161446,50.1993286102755,49.4699329360101,50.2878752423336
NA,50.1827222710549,51.7846874079318,49.3530722571313,50.5588514303108,49.6255001110572
49.8362895657465,50.9152174230825,50.1925595291531,49.1818357413365,49.44531127304,49.3693798551431
50.1442638417518,50.1366713895074,48.1868279395509,47.6345098135855,51.5521504268276,49.4304345516391
50.8827112847282,50.6541532512714,48.8376872272251,49.6200797678742,48.3090134021,49.8469426487531
50.9710663144655,50.6473310581193,49.8120244706079,49.489068263247,49.356822789217,50.3762408557589
49.2096365499197,49.6674895016258,50.3825049442368,51.1994555496808,52.1665860576095,52.3290465970089
48.5305200321024,49.1507863535125,50.4691520177365,48.1550129697309,49.6250799299466,49.8473085972475
50.6729922207494,49.7136264688112,50.0309794039854,50.6666426813001,49.7683779157986,49.4078105639367
49.0307753085251,51.5956049969619,49.886186874375,NA,51.027465975461,51.6527346357332
49.7429473284307,50.4273438738684,50.1015824753143,49.512612932687,50.2719339103704,51.4776785007141
49.3866547397951,50.0304761802455,52.5242660531038,49.4730460724314,51.0780629760556,49.6043597743593
50.8947704321435,49.7347007986845,50.5759085103831,50.0669715606565,49.9049258650809,51.0246990422132
49.3415942117704,49.7686887108152,49.4326620785781,51.437461228961,49.8860614125756,49.3123096558119
48.6008072674333,50.7466809235458,49.1053184960671,50.2789738343453,49.5616204038985,49.875086833748
48.8853916305252,49.3477136563591,48.9507868555932,50.5884122458826,49.3613024813417,50.6832434643811
52.8381379082219,51.0047551779776,50.9991341754901,48.6734343614551,50.1824451995955,50.5814315550928
50.6710006439119,50.5334864895979,51.1488111386662,49.7923391968951,49.0415107819212,49.6774038577231
48.666736165187,49.3988513206233,47.3337321731591,49.5062277071072,48.4285159601355,51.0992362298602
49.8513419923942,50.0792926975977,51.3673761361228,50.3875825984615,49.5850602868535,49.8345304693349
47.8219861655797,49.4726002088919,49.8580675463176,49.9190413002073,50.1508711461266,50.0776409080375
51.1482281309416,48.555374976808,50.684296922423,50.4307701974287,48.4296948178584,50.1539061414358
49.8625486087737,50.9914139618133,48.9068639280362,50.9209806350474,50.8492917084829,47.892635987535
51.3569870341939,50.9318737711568,48.2868377973855,50.9241199047578,48.8015224082796,49.7599989193603
49.880139230074,51.1319257248567,49.4583541931891,51.4557313151449,52.8098736640722,49.896154266184
51.1626610458802,50.2599755777619,49.0776140629571,48.6143371544914,49.9967732269929,51.3117407250036
49.1252039287018,50.0902325723702,51.651366418249,51.1672954419402,49.5701855374821,49.32150604972
51.0087933867011,49.8037176533512,48.9984279696306,49.5330911540866,50.4991524074448,48.8011573907909
50.018287755283,47.4515266147969,48.0909874516082,49.8837069102595,49.1441234212005,50.115914239034
48.7908722834482,51.1978238840302,50.4125681972481,50.4863835128809,49.2278460472501,47.5962667002389
50.0443511877156,47.6379786791186,48.5726589695023,49.2358953681925,50.3131419901707,48.7159721987616
50.7165133585893,50.148622731797,49.9537741467443,49.5718117288307,48.9482349696556,48.9086926504952
51.0232991092618,50.0238178870075,49.3680793619895,50.7058466775521,49.8296251586827,48.3123946966209
49.3406522318887,48.3243185777002,51.8548013227003,50.648257467185,50.0575306676092,49.5579803846626
50.1231540672379,48.4510851643504,49.7638418568982,49.9646252016239,52.02619482244,50.0206199963526
49.5111078264747,48.8552689834052,49.1859606591954,50.2399153842368,50.5566972655132,49.319971404803
50.2116621388264,51.5547949614313,50.0661535697702,50.464345260468,49.9210349747881,51.8962409119198
49.5743834081594,48.6321552454536,49.972741526789,49.7062948166173,NA,50.8407590427037
49.9213711275839,50.9362533755099,50.1746848085296,49.8913543840016,52.0806905334759,49.9958516095625
50.4236310214476,49.419792381726,48.3932494876728,51.2768878258272,49.1285545771122,47.6620433164573
47.8712366070394,50.1448442420328,50.5131903677317,50.7149547611088,49.9253000982257,49.8291769763909
49.7870049143443,49.5022348386209,50.1281698021168,50.1814284042524,49.316111342544,49.7914207816392
49.7354826333202,50.0409014763338,50.3202548950701,48.9575332225805,50.7141142858826,51.9181997668986
49.0008941211124,50.3054044380018,50.1008730329632,50.1887694952028,50.3361913708327,50.8363100729537
49.2628676030487,49.6493262302283,48.9962213249882,49.6558694717238,51.1921901425753,50.5321888130347
49.5014075003185,50.3738335490105,48.1365281402448,50.431675257344,49.5453253586236,51.5075199295051
50.340877093858,49.197845395423,49.4729181700278,49.696326510801,48.6256571567562,48.4413291460163
50.9762437556527,52.0716741472834,51.1614865057383,49.5700239029771,50.9528267056193,50.6828380207827
NA,52.9365854805487,51.1207201180514,51.4172086389083,50.0927352361335,48.7316297602889
47.9389311716761,47.7765478837347,49.900599301159,50.0148398886162,49.1444345640138,49.6967573047623
49.6553084054516,49.8942304843442,50.1510541302745,48.5708932928096,48.7528247360954,50.4803509857711
49.9617385035555,50.4302360183449,50.5972244506739,50.5707785829751,49.7928470034543,49.4694761693903
51.3530301442311,51.3613385053975,NA,51.3828808571987,49.4781569866987,48.8279574921029
48.8315763818351,50.5742571774864,50.2598763038853,48.725318119722,51.3569857296698,50.33978452078
48.446103792311,49.5943484830066,49.5952050514615,49.7608000777758,51.147936239259,50.1263891661439
51.3951605861833,48.6852524929043,50.1917254811499,49.5834222520195,49.8451333567357,51.2802154779064
51.0709099332375,50.7868226089748,49.1506387024469,48.5398843869093,49.0680119543297,50.160533698592
49.4856973934481,49.9190449191095,49.527321612074,50.2552969218932,50.3822727423376,51.0673794460855
50.1004912031008,50.3336607554543,49.3986533288002,50.3768552162184,50.5620443799795,50.086364565922
50.2138362180292,50.7166976378338,50.7013695358233,50.7988315073017,48.938246254505,48.2782676321037
52.4098343755639,51.0511243766306,49.9686498480408,51.3583933453871,49.4096601293539,NA
50.8990626627323,49.3423568524799,50.5944837427105,50.8739347804252,51.8618976629646,48.0563533548642
49.8254688780675,48.2870466015681,49.5466114179537,51.0317250558699,49.7847575593737,50.4464230424617
51.0737174763917,51.6885147121389,49.2881918605671,50.0543541656367,47.0664440635321,50.5424863464844
50.1231529920354,49.5694157961809,50.9620830559355,51.0688755199544,49.8684327713976,48.6865385493374
